slug,dex,name,form,types,tier,bst,effectiveBst,megas,bestMegaTier,legal,notes,versionAdded,baseValue,valueOverride
venusaur,3,Venusaur,,Grass/Poison,A+,525,625,Mega Venusaur [UR],UR,yes,,1.0.2,240000,
charizard,6,Charizard,,Fire/Flying,S,534,634,Mega Charizard X [UR] | Mega Charizard Y [UR],UR,yes,,1.0.2,394000,
blastoise,9,Blastoise,,Water,A+,530,630,Mega Blastoise [UR],UR,yes,,1.0.2,242000,
beedrill,15,Beedrill,,Bug/Poison,C,395,495,Mega Beedrill [UR],UR,yes,,1.0.2,20000,
pidgeot,18,Pidgeot,,Normal/Flying,C,479,579,Mega Pidgeot [UR],UR,yes,,1.0.2,28000,
arbok,24,Arbok,,Poison,D,448,448,,,yes,,1.0.2,3000,
pikachu,25,Pikachu,,Electric,C,320,320,,,yes,Regular form only,1.0.2,10000,
raichu,26,Raichu,,Electric,S,485,585,Mega Raichu X [UR] | Mega Raichu Y [UR],UR,yes,,1.0.2,374000,
raichu-alola,26,Raichu,Alolan Form,Electric/Psychic,B,485,485,,,yes,,1.0.2,54000,
clefable,36,Clefable,,Fairy,A,483,583,Mega Clefable [UR],UR,yes,,1.0.2,127000,
ninetales,38,Ninetales,,Fire,B,505,505,,,yes,,1.0.2,57000,
ninetales-alola,38,Ninetales,Alolan Form,Ice/Fairy,A+,505,505,,,yes,,1.0.2,192000,
wigglytuff,40,Wigglytuff,,Normal/Fairy,C,435,435,,,yes,,1.2.0,14000,
vileplume,45,Vileplume,,Grass/Poison,C,490,490,,,yes,,1.1.0,19000,
persian,53,Persian,,Normal,D,440,440,,,yes,,1.2.0,3000,
persian-alola,53,Persian,Alolan Form,Dark,C,440,440,,,yes,,1.2.0,14000,
arcanine,59,Arcanine,,Fire,B,555,555,,,yes,,1.0.2,65000,
arcanine-hisui,59,Arcanine,Hisuian Form,Fire/Rock,S,555,555,,,yes,,1.0.2,362000,
alakazam,65,Alakazam,,Psychic,A,500,600,Mega Alakazam [UR],UR,yes,,1.0.2,130000,
machamp,68,Machamp,,Fighting,C,505,505,,,yes,,1.0.2,21000,
victreebel,71,Victreebel,,Grass/Poison,D,490,590,Mega Victreebel [UR],UR,yes,,1.0.2,7000,
slowbro,80,Slowbro,,Water/Psychic,B,490,590,Mega Slowbro [UR],UR,yes,,1.0.2,70000,
slowbro-galar,80,Slowbro,Galarian Form,Poison/Psychic,B,490,490,,,yes,,1.0.2,54000,
farfetchd,83,Farfetch'd,,Normal/Flying,D,377,377,,,yes,,1.2.0,2000,
gengar,94,Gengar,,Ghost/Poison,A+,500,600,Mega Gengar [UR],UR,yes,,1.0.2,230000,
kangaskhan,115,Kangaskhan,,Normal,B,490,590,Mega Kangaskhan [UR],UR,yes,,1.0.2,70000,
starmie,121,Starmie,,Water/Psychic,B,520,620,Mega Starmie [UR],UR,yes,,1.0.2,75000,
mr-mime,122,Mr. Mime,,Psychic/Fairy,C,460,460,,,yes,,1.2.0,16000,
pinsir,127,Pinsir,,Bug,D,500,600,Mega Pinsir [UR],UR,yes,,1.0.2,8000,
tauros,128,Tauros,,Normal,D,490,490,,,yes,,1.0.2,5000,
tauros-paldea-aqua,128,Tauros,Paldean Form (Aqua Breed),Fighting/Water,C,490,490,,,yes,,1.0.2,19000,
tauros-paldea-blaze,128,Tauros,Paldean Form (Blaze Breed),Fighting/Fire,C,490,490,,,yes,,1.0.2,19000,
tauros-paldea-combat,128,Tauros,Paldean Form (Combat Breed),Fighting,D,490,490,,,yes,,1.0.2,5000,
gyarados,130,Gyarados,,Water/Flying,B,540,640,Mega Gyarados [UR],UR,yes,,1.0.2,78000,
ditto,132,Ditto,,Normal,B,288,288,,,yes,,1.0.2,40000,
vaporeon,134,Vaporeon,,Water,C,525,525,,,yes,,1.0.2,23000,
jolteon,135,Jolteon,,Electric,B,525,525,,,yes,,1.0.2,60000,
flareon,136,Flareon,,Fire,D,525,525,,,yes,,1.0.2,6000,
aerodactyl,142,Aerodactyl,,Rock/Flying,A+,515,615,Mega Aerodactyl [UR],UR,yes,,1.0.2,236000,
snorlax,143,Snorlax,,Normal,B,540,540,,,yes,,1.0.2,62000,
dragonite,149,Dragonite,,Dragon/Flying,A+,600,700,Mega Dragonite [UR],UR,yes,,1.0.2,250000,
meganium,154,Meganium,,Grass,A,525,625,Mega Meganium [UR],UR,yes,,1.0.2,135000,
typhlosion,157,Typhlosion,,Fire,C,534,534,,,yes,,1.0.2,23000,
typhlosion-hisui,157,Typhlosion,Hisuian Form,Fire/Ghost,A,534,534,,,yes,,1.0.2,117000,
feraligatr,160,Feraligatr,,Water,C,530,630,Mega Feraligatr [UR],UR,yes,,1.0.2,33000,
ariados,168,Ariados,,Bug/Poison,D,400,400,,,yes,,1.0.2,2000,
ampharos,181,Ampharos,,Electric,B,510,610,Mega Ampharos [UR],UR,yes,,1.0.2,74000,
azumarill,184,Azumarill,,Water/Fairy,B,420,420,,,yes,,1.0.2,43000,
politoed,186,Politoed,,Water,A+,500,500,,,yes,,1.0.2,190000,
espeon,196,Espeon,,Psychic,C,525,525,,,yes,,1.0.2,23000,
umbreon,197,Umbreon,,Dark,B,525,525,,,yes,,1.0.2,60000,
slowking,199,Slowking,,Water/Psychic,C,490,490,,,yes,,1.0.2,19000,
slowking-galar,199,Slowking,Galarian Form,Poison/Psychic,B,490,490,,,yes,,1.0.2,54000,
forretress,205,Forretress,,Bug/Steel,D,465,465,,,yes,,1.0.2,4000,
steelix,208,Steelix,,Steel/Ground,B,510,610,Mega Steelix [UR],UR,yes,,1.0.2,74000,
